date,b117,original
2020-12-14,0.0,378.0
2020-12-17,0.0,261.0
2020-12-22,0.0,263.0
2020-12-29,0.0,314.0
2020-12-30,0.0,322.0
2020-12-31,0.0,236.0
2021-01-04,0.0,330.0
2021-01-05,0.0,251.0
2021-01-08,64.0,95.0
2021-01-11,0.0,163.0
2021-01-12,0.0,129.0
2021-01-13,0.0,83.0
2021-01-14,0.0,97.0
2021-01-15,0.0,105.0
2021-01-16,,
2021-01-18,0.0,125.0
2021-01-19,0.0,74.0
2021-01-22,0.0,50.0
2021-01-25,0.0,63.0
2021-01-26,,
2021-01-27,0.0,46.0
2021-01-29,0.0,45.0
2021-02-01,0.0,59.0
2021-02-03,26.0,40.0
2021-02-04,18.0,35.0
2021-02-05,0.0,43.0
2021-02-06,,
2021-02-08,0.0,73.0
2021-02-09,0.0,62.0
2021-02-11,40.0,0.0
2021-02-15,0.0,40.0
2021-02-16,0.0,38.0
2021-02-17,5.0,47.0
2021-02-19,,
2021-02-22,34.0,34.0
2021-02-23,0.0,58.0
